,run,seed,HV,HVN,SP,ABSEHVMEAN,ABSEHVMEANNORM,ABSEHVAUCMEAN,ABSEHVAUCMEANNORM,ABSEHVAUCB1,ABSECUMHVMEAN,ABSECUMHVMEANNORM,ABSECUMHVAUCMEAN,ABSECUMHVAUCMEANNORM,ABSECUMHVAUCB1,solver,instance,configuration
0,0,2733,12.771293965179144,0.9984855642477446,1.499983786907634,2.554258793035829,0.19969711284954894,64668.99979631516,5055.953055893447,318266.78436643066,4.80002867059063,0.37527593904168727,119660.6620379213,9355.312310479463,318777.27102756157,NSGA-II,MMF15,
1,1,43568,12.772737308618222,0.9985984077538217,1.5001041560157062,2.545062777502122,0.19897814977626604,64596.235497406975,5050.264195997925,316517.29830121197,4.847853422588585,0.3790149747740009,120695.00806182556,9436.17957233416,318435.1162068193,NSGA-II,MMF15,
2,2,42614,12.771975842574582,0.9985388748001278,1.5002591481746428,2.5487781842351867,0.19926862778095286,64478.71427942453,5041.076149746055,316627.20808285236,4.774739442705788,0.3732987761134176,118996.75068066327,9303.406379258267,318667.59358085773,NSGA-II,MMF15,
3,3,52417,12.772190513625167,0.998555658216566,1.500556510651558,2.5465768378191758,0.19909652207073367,64083.307418322474,5010.162442498273,316583.5587291191,4.8620915890691805,0.38012814339504997,121028.80436932265,9462.276442028317,318584.09986687516,NSGA-II,MMF15,
4,4,45892,12.772486191749417,0.998578774929683,1.500018189981024,2.5544972383498834,0.1997157549859366,65650.16577669873,5132.662594505202,318128.5834295553,4.838552439982379,0.37828780516292343,120519.69223029265,9422.473026431531,318621.89734381286,NSGA-II,MMF15,
5,0,2733,15.02893360615373,1.1690838439094027,1.5000451301128095,3.005786721230746,0.2338167687818805,94647.06315105454,7362.48860385304,98123.76891803015,5.125519159967511,0.39870837137190934,127588.14493875507,9924.93831107181,317883.4126414019,omnioptimizer,MMF14,
6,1,43568,13.248417496375366,1.0305794980714527,1.510794518820679,2.6066751028001045,0.20277032481910023,87753.48798229694,6826.2451438866165,324706.2873172059,5.121315683651636,0.3983813876764638,127542.58093117553,9921.393938162797,320383.9968940074,omnioptimizer,MMF14,
7,2,42614,15.032582145381703,1.1693676596728542,1.5000192830757069,3.0065164290763406,0.23387353193457083,135311.64473438569,10525.7406744419,302502.1671077629,5.141773774607609,0.39997279956506676,127884.18805119015,9947.967171862492,319095.719017178,omnioptimizer,MMF14,
8,3,52417,15.017064736466875,1.168160577884015,1.5000156016650221,3.003412947293375,0.23363211557680297,100510.47836029693,7818.597079071214,128521.20647157,5.127061396005886,0.398828340178959,127632.91581294192,9928.420987026151,317812.2352208535,omnioptimizer,MMF14,
9,4,45892,14.943686334096517,1.1624525544838755,1.6553033167929905,5.516207392583169,0.4290995696249554,138960.27471124823,10809.563497147496,323964.0230722133,5.14258185970802,0.40003565959626736,128095.163141241,9964.378686858126,320345.0293560844,omnioptimizer,MMF14,
10,0,2733,4.20621881375479,0.22724716234013057,1.0032158919803464,0.8412437627509579,0.04544943246802611,17456.585091536293,943.117703061064,87282.92545768147,2.9859001552716005,0.16131765068843687,48614.1676603598,2626.451960658303,243070.838301799,MOLE,ZDT6,
11,2,42614,6.77680313006916,0.3661267635459037,1.0095010665121649,1.355360626013832,0.07322535270918074,20269.494669236643,1095.0892831798735,101347.47334618322,3.2592446228177026,0.1760854878699209,21855.142910607963,1180.7562632577808,109275.71455303981,MOLE,ZDT6,
12,0,2733,4978.0747895298255,0.9999288483161195,2.32205984349684,1950.520340413166,0.39179434622168746,49747136.43604586,9992.537064357452,123288852.13936496,4462.606367115579,0.8963884702060737,110508852.75783749,22197.53509916969,123820479.61018813,NSGA-II,BiObjBBOB5,
13,1,43568,4978.129866634771,0.9999399114657195,2.2936043723447677,1948.8732411411288,0.39146349902718275,49834679.80645501,10010.121601603667,123501833.09782483,4450.349111767633,0.8939263972678836,110621172.00385018,22220.09628176691,124069351.61424896,NSGA-II,BiObjBBOB5,
14,2,42614,4978.02191280568,0.9999182271494811,2.291178572846563,1948.8997853514015,0.3914688308718676,50574147.86278857,10158.656019666521,123366199.87806158,4455.871886190955,0.8950357380677118,110176780.3921666,22130.832859407987,123930443.13309783,NSGA-II,BiObjBBOB5,
15,3,52417,4978.0261306966895,0.9999190743828149,2.341720712870546,1951.2773819967756,0.39194641057403873,50339131.25596886,10111.449038066594,123330488.36036979,4464.925301893348,0.8968542666996362,110935626.57445931,22283.259695321536,123920362.62224571,NSGA-II,BiObjBBOB5,
16,4,45892,4978.089362452982,0.9999317755293262,2.317659070827451,1950.2922354290745,0.3917485275540938,50016486.851473935,10046.64056060442,123357643.33188517,4461.260722345823,0.896118175145884,110997382.02869605,22295.664302090812,123991613.95738971,NSGA-II,BiObjBBOB5,
17,0,2733,15.042182075881751,1.1760281846541478,1.5006571788213026,3.0084364151763503,0.23520563693082955,75590.79467804711,5909.841045224627,374591.95070148277,4.726046853074148,0.3694918910815962,117785.71570739824,9208.725218375026,318628.9991423701,omnioptimizer,MMF15,
18,1,43568,15.038906012763311,1.1757720554208653,1.5000137864746623,3.0077812025526622,0.23515441108417307,76424.37250355698,5975.01184371364,374871.17520970077,4.7970396909689725,0.3750422545761826,119540.64423467746,9345.929076147968,318649.1171180725,omnioptimizer,MMF15,
19,2,42614,15.055537276890478,1.1770723212507368,1.5000312555372481,3.0111074553780957,0.23541446425014736,75844.98259183421,5929.713969864421,374773.95828208514,4.732945366899186,0.37003123082961575,117987.38425385402,9224.492072771138,318796.4571466659,omnioptimizer,MMF15,
20,3,52417,15.080574118250775,1.179029752090617,1.5000823099937377,3.016114823650155,0.2358059504181234,75831.69251807325,5928.6749250476405,374870.77345057105,4.728214129690326,0.3696613331460327,117839.52532227979,9212.932162778894,318700.7497963924,omnioptimizer,MMF15,
21,4,45892,15.025400524197345,1.1747161690394228,1.4999930118040563,3.005080104839469,0.23494323380788457,77724.77031872995,6076.679572118425,374726.6572716115,4.8071828210525,0.37583526497844116,119801.59762741569,9366.330939600566,318628.6697601812,omnioptimizer,MMF15,
22,0,2733,60.18420475725601,1.061824492231325,1.5000091290890545,12.036840951451202,0.212364898446265,311239.94085675885,5491.178183632833,1498849.8586387786,49.68036676892495,0.8765062266926403,1239080.3287438836,21860.98239910155,1413579.0542155802,omnioptimizer,MMF11,
23,1,43568,60.20352444771611,1.0621653477862933,1.5000031594560523,12.040704889543223,0.21243306955725866,307854.97162716446,5431.457477046619,1499030.4414709513,47.57660781363314,0.8393897973323187,1125153.4304610242,19850.980415880156,1413626.5353398037,omnioptimizer,MMF11,
24,2,42614,60.200932715603585,1.0621196220905649,1.500832739302517,12.038162000511168,0.21238820559559043,307759.4484494877,5429.772170244908,1498904.6218925146,49.82976317274571,0.8791420139605454,1242829.4534206525,21927.127867373143,1413739.805889534,omnioptimizer,MMF11,
25,3,52417,60.19941471783195,1.0620928401928964,1.5000156637016873,12.03988294356639,0.21241856803857925,313210.2353852284,5525.939912157394,1498716.203290702,47.672511407172586,0.8410818157767579,1185232.0832553152,20910.942664356142,1413593.2311220528,omnioptimizer,MMF11,
26,4,45892,60.190988886555516,1.0619441840122121,1.5000385283952686,12.038197777311103,0.21238883680244244,308416.59603309026,5441.366165747452,1498825.242778554,50.362190824306,0.8885355869594436,1236760.2144744121,21820.048832461656,1413554.5538204056,omnioptimizer,MMF11,
27,0,2733,5.424903705454934,0.5617649558145404,2.399995828774446,2.704387747386093,0.2800474157519318,54234.18968959403,5616.112069229298,119690.72231837799,6.243761955714057,0.6465601694719988,154687.880971993,16018.391355388903,239505.13533239352,omnioptimizer,MMF7,
28,1,43568,5.032283526608425,0.5211079654978599,2.410689447980702,0.6711811534005485,0.06950280990323905,49449.07725775179,5120.599407661043,108874.06659758293,6.257263892813254,0.647958335321526,155796.4206630957,16133.183946078538,239440.70209668874,omnioptimizer,MMF7,
29,2,42614,5.005545290646797,0.5183391414303582,2.4757189371386463,1.4822233761387804,0.1534886506034403,59670.514769793146,6179.059742457247,107566.4061447848,6.241906791731878,0.6463680617095273,154663.99604474506,16015.917999947298,239540.5838617617,omnioptimizer,MMF7,
30,3,52417,5.17948728078414,0.5363513532057566,2.485503404562607,1.8229875369230015,0.1887757956146297,43312.07572129671,4485.094597963902,105611.91132282797,6.241632363645677,0.6463396438628541,151004.00397268386,15636.914906754033,239589.1405992505,omnioptimizer,MMF7,
